status,walkscore,description,updated,snappedLong,snappedLat
1,98,Walker's Paradise,2020-05-02 01:20:10.926643,-87.6345,41.9025
1,77,Very Walkable,2020-05-03 20:02:29.501924,-87.588,41.7885
1,79,Very Walkable,2020-04-10 16:44:17.343036,-87.6975,41.8545
1,94,Walker's Paradise,2020-02-24 18:48:24.813131,-87.6825,41.9025
1,94,Walker's Paradise,2020-05-05 00:02:51.825336,-87.6375,41.9175
1,89,Very Walkable,2020-02-12 05:22:57.133380,-87.5925,41.796
1,93,Walker's Paradise,2020-05-30 16:34:40.600198,-87.6405,41.9115
1,92,Walker's Paradise,2020-05-01 06:18:54.639763,-87.66,41.8965
1,96,Walker's Paradise,2020-04-26 01:42:41.910239,-87.6555,41.9265
1,93,Walker's Paradise,2020-01-14 01:44:03.725988,-87.657,41.9265
1,90,Walker's Paradise,2020-04-04 05:44:27.674407,-87.6795,41.9205
1,95,Walker's Paradise,2020-05-28 23:04:48.209651,-87.666,41.9745
1,98,Walker's Paradise,2020-02-19 16:08:51.460828,-87.6345,41.8935
1,93,Walker's Paradise,2020-01-14 01:44:03.725988,-87.657,41.9265
1,59,Somewhat Walkable,2020-04-01 17:41:50.632225,-87.6195,41.847
1,97,Walker's Paradise,2019-12-24 19:52:16.879057,-87.6795,41.8965
1,97,Walker's Paradise,2020-02-21 19:32:36.743421,-87.657,41.9685
1,97,Walker's Paradise,2019-12-24 19:52:16.879057,-87.6795,41.8965
1,96,Walker's Paradise,2020-04-18 20:15:41.658122,-87.6555,41.97
1,92,Walker's Paradise,2020-05-24 20:39:32.887339,-87.6525,41.9685
1,94,Walker's Paradise,2020-03-19 03:15:04.010077,-87.681,41.943
1,95,Walker's Paradise,2020-04-26 17:43:19.607868,-87.639,41.913
1,95,Walker's Paradise,2020-05-12 00:12:13.303203,-87.6735,41.943
1,95,Walker's Paradise,2020-05-12 00:12:13.303203,-87.6735,41.943
1,97,Walker's Paradise,2020-03-19 04:39:57.947071,-87.6735,41.9415
1,98,Walker's Paradise,2020-03-20 01:35:37.300269,-87.6735,41.898
1,91,Walker's Paradise,2020-05-01 21:43:47.917379,-87.7215,41.9595
1,70,Very Walkable,2020-04-08 01:49:50.482100,-87.7545,41.943
1,92,Walker's Paradise,2020-03-20 18:35:06.169985,-87.702,41.9295
1,96,Walker's Paradise,2020-03-28 19:00:25.356986,-87.6795,41.9595
1,63,Somewhat Walkable,2020-05-19 16:15:36.946530,-87.609,41.688
1,96,Walker's Paradise,2020-01-15 01:37:14.021861,-87.657,41.892
1,96,Walker's Paradise,2020-05-10 05:33:25.008969,-87.696,41.925
1,96,Walker's Paradise,2019-12-30 22:19:04.629681,-87.6615,41.964
1,86,Very Walkable,2020-05-14 06:01:21.904754,-87.7275,41.9565
1,97,Walker's Paradise,2020-05-06 15:07:58.500878,-87.6585,41.9685
1,93,Walker's Paradise,2020-04-30 09:55:56.199186,-87.624,41.8605
1,72,Very Walkable,2020-04-11 06:13:57.637208,-87.684,42.0075
1,98,Walker's Paradise,2020-05-02 01:20:10.926643,-87.6345,41.9025
1,98,Walker's Paradise,2020-05-02 06:51:30.477102,-87.645,41.8845
1,96,Walker's Paradise,2019-12-10 07:45:14.421256,-87.705,41.9265
1,96,Walker's Paradise,2020-03-13 21:32:52.648722,-87.6405,41.886
1,93,Walker's Paradise,2020-01-14 01:44:03.046920,-87.657,41.9775
1,94,Walker's Paradise,2020-05-11 15:49:13.428613,-87.684,41.9205
