status,walkscore,description,updated,snappedLong,snappedLat
1,90,Very Walkable,2020-04-29 21:24:50.998944,-87.7215,41.91
1,93,Walker's Paradise,2020-01-14 01:04:28.504171,-87.651,41.9355
1,97,Walker's Paradise,2020-05-30 18:32:54.183491,-87.6525,41.9205
1,81,Very Walkable,2019-12-16 03:28:49.651629,-87.681,42.0105
1,96,Walker's Paradise,2020-03-20 21:42:03.338409,-87.6375,41.8515
1,89,Very Walkable,2020-03-19 22:58:32.027271,-87.6855,42
1,99,Walker's Paradise,2020-05-02 04:51:09.311567,-87.6315,41.9025
1,78,Very Walkable,2020-04-06 10:53:07.006872,-87.654,41.871
1,94,Walker's Paradise,2020-03-24 15:56:13.502651,-87.639,41.877
1,95,Walker's Paradise,2020-05-13 03:05:58.999658,-87.6345,41.8875
1,47,Car-Dependent,2020-03-24 20:02:38.827450,-87.618,41.7885
1,96,Walker's Paradise,2020-04-04 21:58:06.026659,-87.684,41.9115
1,96,Walker's Paradise,2020-06-01 06:19:17.218811,-87.645,41.88
1,56,Somewhat Walkable,2020-02-12 17:37:46.523124,-87.582,41.772
1,91,Walker's Paradise,2020-04-05 16:23:39.291798,-87.7125,41.9115
1,97,Walker's Paradise,2020-05-02 19:48:30.383584,-87.6705,41.91
1,99,Walker's Paradise,2020-02-20 12:38:09.254547,-87.633,41.895
1,93,Walker's Paradise,2020-04-04 11:41:14.537473,-87.7005,41.928
1,85,Very Walkable,2020-01-21 00:05:18.342746,-87.687,41.88
1,93,Walker's Paradise,2019-12-27 14:56:50.813190,-87.651,41.9445
1,97,Walker's Paradise,2020-05-11 03:51:11.320001,-87.6375,41.907
1,94,Walker's Paradise,2020-05-05 00:02:51.825336,-87.6375,41.9175
1,97,Walker's Paradise,2020-02-07 17:21:45.601616,-87.654,41.922
1,63,Somewhat Walkable,2020-02-05 13:44:07.437078,-87.633,41.7645
1,73,Very Walkable,2020-05-19 06:19:58.399730,-87.5505,41.739
1,93,Walker's Paradise,2020-05-15 03:21:35.721668,-87.6465,41.952
1,93,Walker's Paradise,2020-05-20 01:13:23.813313,-87.7125,41.961
1,78,Very Walkable,2020-04-20 18:28:10.000817,-87.711,41.808
1,85,Very Walkable,2020-03-24 21:43:16.484903,-87.7185,41.949
1,93,Walker's Paradise,2020-05-08 09:07:27.389631,-87.6165,41.892
1,92,Walker's Paradise,2020-03-23 05:40:11.430927,-87.669,41.9625
1,98,Walker's Paradise,2020-05-02 03:02:27.800210,-87.6225,41.892
1,93,Walker's Paradise,2019-12-12 19:35:49.563166,-87.6255,41.8545
1,94,Walker's Paradise,2020-05-01 06:18:54.739936,-87.7245,41.9685
1,61,Somewhat Walkable,2019-12-30 17:48:15.482890,-87.5985,41.7765
