id,location,longitude,latitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,host_is_superhost,instant_bookable,cancellation_policy,tv,air_conditioning,balcony_patio,bed_linen,outdoor_space,breakfast,coffee_machine,cooking_equip,white_goods,child_friendly,parking,greet_by_host,internet,long_term_stay,pets,private_entrance,security_system,self_checkin,gym,review_scores_rating_under80,review_scores_rating_80_94,review_scores_rating_95_100,review_scores_rating_unknown
1947,Chicago,-87.63405,41.90246,Apartment,Entire home/apt,2,1,0,1,48,100,0,1,0,28,60,3,90,FALSE,FALSE,moderate,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0
2384,Chicago,-87.5878,41.7879,Apartment,Private room,1,1,1,1,55,0,20,1,0,2,90,178,100,TRUE,FALSE,strict,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0
4505,Chicago,-87.69696,41.85495,Apartment,Entire home/apt,7,1,3,4,117,0,30,2,20,2,60,394,96,TRUE,TRUE,moderate,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0
7126,Chicago,-87.68182,41.90289,Apartment,Entire home/apt,2,1,1,1,80,0,0,1,0,2,60,383,93,TRUE,FALSE,moderate,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0
9811,Chicago,-87.63788,41.91769,Apartment,Entire home/apt,4,1,1,0,150,0,85,3,25,4,180,49,92,FALSE,TRUE,strict,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0
10610,Chicago,-87.59261,41.79612,Apartment,Private room,2,1,1,1,35,200,50,1,7,2,365,44,82,FALSE,TRUE,moderate,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0
10945,Chicago,-87.64,41.91183,Apartment,Entire home/apt,4,1,2,2,215,0,100,2,25,4,180,16,90,FALSE,TRUE,strict,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0
22362,Chicago,-87.66041,41.89617,Apartment,Entire home/apt,4,2,2,2,99,0,75,4,0,91,1000,9,93,FALSE,FALSE,moderate,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0
24833,Chicago,-87.65521,41.92679,Apartment,Entire home/apt,3,1,1,1,99,200,80,2,10,32,395,37,85,FALSE,FALSE,flexible,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0
25879,Chicago,-87.65753,41.92693,Apartment,Entire home/apt,6,1,2,3,99,300,150,2,5,32,300,47,87,FALSE,TRUE,strict,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0
