id,longitude,latitude,accommodates,price,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,tv,air_conditioning,balcony_patio,bed_linen,outdoor_space,breakfast,coffee_machine,cooking_equip,white_goods,child_friendly,parking,greet_by_host,internet,long_term_stay,pets,private_entrance,security_system,self_checkin,gym,review_scores_rating_under80,review_scores_rating_80_94,review_scores_rating_95_100,review_scores_rating_unknown,property_type_House,room_type_Private room,host_is_superhost_TRUE,instant_bookable_TRUE,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,walkscore
1947,-87.63405,41.90246,0.6931471805599453,3.871201010907891,4.605170185988092,-6.907755278982137,-6.907755278982137,3.332204510175204,4.0943445622221,1.0986122886681098,90,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,98
2384,-87.5878,41.7879,0,4.007333185232471,-6.907755278982137,2.995732273553991,-6.907755278982137,0.6931471805599453,4.499809670330265,5.181783550292085,100,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,77
4505,-87.69696,41.85495,1.9459101490553132,4.762173934797756,-6.907755278982137,3.4011973816621555,2.995732273553991,0.6931471805599453,4.0943445622221,5.976350909297934,96,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,79
7126,-87.68182,41.90289,0.6931471805599453,4.382026634673881,-6.907755278982137,-6.907755278982137,-6.907755278982137,0.6931471805599453,4.0943445622221,5.948034989180646,93,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,94
9811,-87.63788,41.91769,1.3862943611198906,5.0106352940962555,-6.907755278982137,4.442651256490317,3.2188758248682006,1.3862943611198906,5.19295685089021,3.8918202981106265,92,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,94
10610,-87.59261,41.79612,0.6931471805599453,3.5553480614894135,5.298317366548036,3.912023005428146,1.9459101490553132,0.6931471805599453,5.8998973535824915,3.784189633918261,82,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,89
10945,-87.64,41.91183,1.3862943611198906,5.3706380281276624,-6.907755278982137,4.605170185988092,3.2188758248682006,1.3862943611198906,5.19295685089021,2.772588722239781,90,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,93
22362,-87.66041,41.89617,1.3862943611198906,4.59511985013459,-6.907755278982137,4.31748811353631,-6.907755278982137,4.51085950651685,6.907755278982137,2.1972245773362196,93,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,92
24833,-87.65521,41.92679,1.0986122886681098,4.59511985013459,5.298317366548036,4.382026634673881,2.302585092994046,3.4657359027997265,5.978885764901122,3.6109179126442243,85,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,96
25879,-87.65753,41.92693,1.791759469228055,4.59511985013459,5.703782474656201,5.0106352940962555,1.6094379124341003,3.4657359027997265,5.703782474656201,3.8501476017100584,87,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,93
