longitude,latitude,price
-87.63405,41.90246,48
-87.5878,41.7879,55
-87.69696,41.85495,117
-87.68182,41.90289,80
-87.63788,41.91769,150
-87.59261,41.79612,35
-87.64,41.91183,215
-87.66041,41.89617,99
-87.65521,41.92679,99
-87.65753,41.92693,99
-87.6801,41.92083,200
-87.66539,41.97385,77
-87.63465,41.89377,75
-87.65731,41.92673,80
-87.61883,41.84631,59
-87.67934,41.89615,59
-87.65757,41.96792,180
-87.67934,41.89615,55
-87.65621,41.9693,99
-87.65225,41.96852,48
-87.68121,41.94342,275
-87.63864,41.91289,475
-87.67321,41.94274,198
-87.67378,41.94274,125
-87.67327,41.94221,280
-87.67315,41.89753,72
-87.72158,41.96012,67
-87.75403,41.94325,85
-87.70219,41.92918,125
-87.67963,41.95935,44
-87.60892,41.6883,90
-87.65654,41.89273,115
-87.69593,41.92543,75
-87.66088,41.96331,125
-87.72781,41.95602,55
-87.65791,41.96797,90
-87.62399,41.86051,170
-87.68438,42.00692,48
-87.63494,41.90314,149
-87.64487,41.88467,195
-87.70471,41.92716,97
-87.6404,41.88623,175
-87.65764,41.97794,26
-87.68353,41.92063,125
-87.63967,41.82702,130
-87.59027,41.78216,47
-87.63934,41.82741,146
-87.70916,41.96331,85
-87.59436,41.8077,85
-87.58948,41.80086,195
-87.65473,41.93986,136
-87.67146,41.9991,30
-87.67027,42.00162,30
-87.65597,41.89862,295
-87.62058,41.82869,35
-87.66511,42.01455,71
-87.66763,41.88913,130
-87.69902,41.91891,69
-87.66659,41.89843,250
-87.68181,41.90095,175
-87.62275,41.86614,119
-87.69385,41.92451,49
-87.67267,41.97053,225
-87.6731,41.91173,60
-87.67501,42.00435,85
-87.6425,41.91269,280
-87.63919,41.94286,130
-87.69989,41.93142,125
-87.61559,41.82293,85
-87.63919,41.94284,490
-87.68359,41.96425,75
-87.66268,41.88961,42
-87.66241,41.89003,74
-87.67946,41.93537,42
-87.66086,41.89056,63
-87.66213,41.99667,65
-87.67134,41.94242,200
-87.75569,41.99244,75
-87.75719,41.99201,65
-87.68121,41.99348,50
-87.63499,41.90302,99
-87.64895,41.92929,800
-87.66096,41.88999,44
-87.65218,41.93932,85
-87.70293,41.92255,60
-87.699,41.92669,90
-87.68087,41.97847,75
-87.61566,41.88624,94
-87.72061,41.92997,135
-87.64935,41.88676,159
-87.682,41.94994,84
-87.66238,41.96193,99
-87.67398,41.96437,20
-87.66346,41.96046,299
-87.68323,41.92285,175
-87.66951,42.00184,50
-87.674,41.89513,81
-87.67598,41.90213,95
-87.68378,41.96238,90
-87.65959,41.9217,85
-87.65271,41.85939,125
-87.64975,41.89397,150
-87.65567,41.9263,150
-87.7138,41.92649,110
-87.70927,41.91105,200
-87.63813,41.91316,115
-87.69659,41.88449,75
-87.66788,41.90677,50
-87.65449,41.89505,302
-87.6788,41.86755,269
-87.66712,42.00498,69
-87.66794,42.00623,59
-87.66693,42.00426,59
-87.67082,42.00381,159
-87.62609,41.8943,100
-87.70769,41.85432,45
-87.70784,41.85423,45
-87.70768,41.85455,45
-87.59978,41.81996,240
-87.65164,41.94376,79
-87.64108,41.93396,114
-87.62453,41.85278,85
-87.65236,41.97271,55
-87.77086,41.88655,55
-87.67987,42.01761,55
-87.70933,41.91791,59
-87.72026,41.88282,80
-87.64026,41.92628,50
-87.64483,41.9395,79
-87.68305,41.87086,99
-87.67783,41.91095,135
-87.64134,41.93804,70
-87.75762,41.94735,210
-87.75419,41.94556,40
-87.67423,41.97009,130
-87.60086,41.82147,75
-87.60129,41.82184,75
-87.68486,41.8719,100
-87.66956,42.00049,70
-87.66921,41.92913,395
-87.63675,41.91355,198
-87.59986,41.82179,200
-87.68896,41.92083,90
-87.71154,41.95564,60
-87.67239,41.96952,168
-87.66806,41.98496,120
-87.60523,41.82781,50
-87.64103,41.92989,380
-87.61586,41.81266,65
-87.64012,41.91307,158
-87.63934,41.91406,425
-87.61695,41.88642,145
-87.6048,41.82936,55
-87.67195,41.71348,90
-87.66236,41.85763,65
-87.6488,41.90607,344
-87.62941,41.90697,475
-87.68422,41.91638,149
-87.67634,42.01114,90
-87.66141,41.93455,60
-87.6462,41.859,135
-87.67257,41.97282,69
-87.66901,42.01599,99
-87.66849,42.01395,30
-87.6136,41.72836,32
-87.67456,41.82516,95
-87.68572,41.89322,99
-87.69719,41.89665,82
-87.67322,41.99892,109
-87.65754,41.93465,75
-87.66254,41.89003,71
-87.67116,41.99969,100
-87.62369,41.89232,153
-87.59465,41.79984,101
-87.64068,41.94036,155
-87.65897,41.93396,250
-87.68127,41.84801,70
-87.65501,41.85675,69
-87.70272,41.93998,99
-87.59886,41.77892,59
-87.59477,41.79963,115
-87.65052,41.88575,200
-87.64315,41.93283,225
-87.67503,42.004,80
-87.62856,41.86991,200
-87.70783,41.94663,90
-87.62052,41.85453,190
-87.65878,41.93101,100
-87.65988,41.94432,519
-87.66173,41.94993,439
-87.66129,41.94943,549
-87.61463,41.81832,1000
-87.69031,41.91344,55
-87.65084,41.9453,65
