longitude,latitude,price
-77.0567,38.97725,416
-122.29082,47.61082,296
-122.33761,47.65411,90
-122.31937,47.55017,62
-122.32936,47.61265,79
-122.38474,47.55539,165
-122.33652,47.65479,120
-122.37273,47.56612,125
-122.33646,47.65448,299
-122.3347,47.68725,40
-122.33586,47.68827,60
-122.32649,47.68407,40
-122.34815,47.61447,137
-122.39512,47.67334,89
-122.34815,47.61447,206
-122.32676,47.61743,259
-122.38186,47.6789,64
-122.39231,47.68805,99
-122.31402,47.56035,95
-122.33059,47.65055,55
-122.36589,47.67171,76
-122.27212,47.56168,70
-122.32148,47.63813,149
-122.32004,47.62585,110
-122.39448,47.58239,75
-122.40204,47.58,92
-122.35745,47.65437,120
-122.40649,47.56874,150
-122.35,47.65231,79
-122.33517,47.66923,110
-122.31709,47.62254,170
-122.26455,47.55508,85
-122.29212,47.61894,75
-122.31677,47.58379,89
-122.29825,47.61231,80
-122.32008,47.65062,249
-122.35861,47.62767,750
-122.39784,47.54543,78
-122.39387,47.58216,59
-122.35984,47.6777,175
-122.28398,47.68004,99
-122.367,47.70085,95
-122.28122,47.5613,80
-122.34791,47.61534,200
-122.37875,47.68231,90
-122.36055,47.65589,285
-122.34879,47.61386,139
-122.36902,47.69049,175
-122.31827,47.55062,55
-122.37436,47.57327,60
-122.37582,47.64329,215
-122.37103,47.63629,165
-122.36169,47.67717,85
-122.34201,47.68378,200
-122.3871,47.69818,195
-122.34811,47.61461,206
-122.34668,47.61607,139
-122.37296,47.6341,299
-122.30559,47.59471,229
-122.33,47.6121,183
-122.34803,47.61462,196
-122.30133,47.62388,125
-122.34815,47.61447,160
-122.32429,47.64481,130
-122.31709,47.62254,240
-122.29788,47.59583,135
-122.32421,47.61897,165
-122.33214,47.65588,90
-122.31119,47.61137,500
-122.32235,47.61401,155
-122.39025,47.58003,107
-122.37873,47.5044,185
-122.32022,47.65047,199
-122.32235,47.61401,196
-122.32742,47.60002,99
-122.33091,47.68354,450
-122.35705,47.68348,85
-122.3607,47.66623,400
-122.32095,47.6257,499
-122.32379,47.62178,119
-122.31526,47.58513,72
-122.33952,47.65356,259
-122.31581,47.61953,120
-122.28943,47.68523,50
-122.37305,47.68394,99
-122.37622,47.69736,80
-122.4028,47.66899,395
-122.29114,47.71796,77
-122.29871,47.62785,200
-122.34368,47.61172,275
-122.27895,47.56051,79
-122.36781,47.7019,65
-122.32582,47.65854,85
-122.35605,47.5366,45
-122.35634,47.62082,95
-122.32021,47.65043,229
-122.28828,47.68362,275
-122.32415,47.61968,98
-122.29212,47.57917,40
-122.29369,47.57955,47
-122.29697,47.62125,95
-122.36738,47.70084,80
-122.31742,47.55004,60
-122.32228,47.6139,168
-122.38598,47.56221,99
-122.33172,47.61436,210
-122.29396,47.56962,250
-122.36057,47.65651,99
-122.33623,47.6637,80
-122.28927,47.67532,99
-122.34843,47.61348,150
-122.28414,47.66508,90
-122.31359,47.66154,89
-122.35607,47.65161,255
-122.29011,47.60975,250
-122.35688,47.65587,75
-122.32972,47.61234,175
-122.30858,47.60342,100
-122.29042,47.62423,229
-122.36464,47.69109,65
-122.28621,47.56841,42
-122.31857,47.55041,60
-122.3019,47.59243,60
-122.35668,47.72273,125
-122.29244,47.56253,150
-122.38524,47.67169,95
-122.33785,47.65243,165
-122.36959,47.64215,145
-122.32582,47.64339,155
-122.32412,47.64,105
-122.27792,47.63806,199
